time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
2.126135	5	302.869	949.379	2240.305	3122.434	4589.189
2.131135	5	291.844	1355.836	2200.139	3115.328	4583.869
2.136135	5	277.409	1366.449	2283.897	3119.167	4591.764
2.141135	5	273.250	1321.936	2417.101	3221.456	4560.114
2.146135	5	279.545	1310.136	2359.463	3418.886	4541.233
2.151135	5	278.629	1482.552	2383.161	3446.102	4453.996
2.156135	5	258.494	1490.242	2396.926	3455.087	4415.548
2.161135	5	240.239	1499.834	2423.667	3510.112	4432.156
2.166135	4	239.297	1311.320	2397.029	3715.543	--undefined--
2.171135	4	261.921	1745.803	2430.845	3774.701	--undefined--
2.176135	4	269.892	2238.221	2440.957	3838.505	--undefined--
2.181135	4	269.137	1979.066	3045.979	3937.548	--undefined--
2.186135	5	297.776	1813.873	2833.364	3236.601	4487.121
2.191135	5	318.651	1824.360	2672.762	3373.832	4468.967
2.196135	4	336.073	1963.617	2758.321	3782.825	--undefined--
2.201135	4	356.787	2010.587	2708.158	3773.355	--undefined--
2.206135	4	378.456	1972.568	2665.956	3791.091	--undefined--
2.211135	4	389.632	1952.515	2630.274	3797.487	--undefined--
2.216135	4	407.171	1975.882	2589.353	3879.056	--undefined--
